"filename", "language", "Markdown", "HTML", "JavaScript", "JavaScript JSX", "JSON", "SCSS", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\types\type.user.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 1, 21
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\route.jsx", "JavaScript JSX", 0, 0, 0, 54, 0, 0, 1, 5, 60
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\axios.js", "JavaScript", 0, 0, 23, 0, 0, 0, 8, 9, 40
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkAuth.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 3, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\checkFriend.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\firebase.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 7, 22
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\handleUltils.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\io.js", "JavaScript", 0, 0, 19, 0, 0, 0, 1, 5, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\utils\keyMenuItem.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 14
"Total", "-", 1, 14, 547, 1877, 9010, 701, 92, 381, 12623
